group,bin,line,fit_limit,fit_limits_used,parameter,value,err_lower,err_upper,lower_limit,upper_limit,n_samples
MUSE,3,Ar,,"(0.5, 0.6, 0.7)",s0,0.9414113526576869,0.6517624790479366,2.3706529231351516,0.28964887360975033,3.3120642757928387,3
MUSE,3,H,,"(0.5, 0.6, 0.7)",sig2,8.41238348099604,0.6610702339757495,0.5099825750095395,7.75131324702029,8.922366056005579,3
MUSE,3,H,,"(0.5, 0.6, 0.7)",r0,0.06678789264521469,0.007468353173704895,0.005110161771094579,0.059319539471509794,0.07189805441630927,3
MUSE,3,H,,"(0.5, 0.6, 0.7)",m,1.222561963838447,0.05156988430414566,0.09752442332517886,1.1709920795343014,1.320086387163626,3
MUSE,3,H,,"(0.5, 0.6, 0.7)",noise,0.3466658532216373,0.08363522371718818,0.24299370999836084,0.2630306295044491,0.5896595632199981,3
MUSE,3,H,,"(0.5, 0.6, 0.7)",s0,0.7123273970883542,0.43905430243366517,2.5129654012934326,0.2732730946546891,3.225292798381787,3
MUSE,3,O,,"(0.5, 0.6, 0.7)",sig2,7.6675806988086554,0.8999847781956349,0.8804875028183625,6.7675959206130205,8.548068201627018,3
MUSE,3,O,,"(0.5, 0.6, 0.7)",r0,0.06365051680311058,0.010457663271209179,0.00943385293832677,0.0531928535319014,0.07308436974143735,3
MUSE,3,O,,"(0.5, 0.6, 0.7)",m,1.219422795873488,0.09986673506186694,0.1681214215184137,1.119556060811621,1.3875442173919017,3
MUSE,3,O,,"(0.5, 0.6, 0.7)",noise,0.5583506789083476,0.1383103588965472,0.3362819379782225,0.42004032001180036,0.89463261688657,3
MUSE,3,O,,"(0.5, 0.6, 0.7)",s0,0.6771980068881603,0.3957901940629128,2.6702738706016707,0.2814078128252475,3.347471877489831,3
MUSE,4,N,,"(0.5, 0.6, 0.7)",sig2,8.909100814461413,0.534990003223859,0.3757675398312337,8.374110811237554,9.284868354292646,3
MUSE,4,N,,"(0.5, 0.6, 0.7)",r0,0.05613893933991624,0.003946521563985547,0.003362099587916452,0.05219241777593069,0.05950103892783269,3
MUSE,4,N,,"(0.5, 0.6, 0.7)",m,0.9761087607014597,0.053184833744754356,0.0877843248660265,0.9229239269567053,1.0638930855674862,3
MUSE,4,N,,"(0.5, 0.6, 0.7)",noise,0.4219246938606603,0.405681430127001,0.1826176987437867,0.016243263733659308,0.604542392604447,3
MUSE,4,N,,"(0.5, 0.6, 0.7)",s0,3.283318920482228,2.537884953852939,0.24168107950985063,0.7454339666292893,3.5249999999920787,3
